 91  900.003983 2.064E-28 1.562E-06.09610.488 1017.56270.750.000000          0 0 1          0 1 0 38  7 32       38  3 35      4544001312 3 2 0 0    77.0   77.0
 91  900.025853 1.368E-27 7.101E-06.09900.416  870.78780.750.000000          0 0 1          0 1 0 27 10 17       27  8 20      4544001312 3 2 0 0    55.0   55.0
 91  900.088218 1.310E-27 6.490E-06.09930.416  853.52210.750.000000          0 0 1          0 1 0 26 10 17       26  8 18      4544001312 3 2 0 0    53.0   53.0
 91  900.094931 2.993E-27 3.770E-03.09280.376 2121.43680.750.000000          2 0 0          0 0 1 49  1 49       50  1 50      4444001312 3 2 0 0    99.0  101.0
 91  900.103588 2.603E-28 1.028E-05.10090.461 1246.84620.750.000000          0 1 1          0 2 0 22  8 15       21  6 16      4544001312 3 2 0 0    45.0   43.0
 91  900.146857 1.241E-27 5.894E-06.09960.415  836.89880.750.000000          0 0 1          0 1 0 25 10 15       25  8 18      4544001312 3 2 0 0    51.0   51.0
 91  900.168490 1.073E-28 3.844E-05.08940.386 1910.74570.750.000000          0 0 1          0 1 0 62 11 52       62  9 53      4434001312 3 2 0 0   125.0  125.0
 91  900.201699 1.162E-27 5.315E-06.09990.414  820.91750.750.000000          0 0 1          0 1 0 24 10 15       24  8 16      4544001312 3 2 0 0    49.0   49.0
 91  900.223601 2.294E-27 8.745E-06.09890.469  821.62870.750.000000          0 0 1          0 1 0 29  7 22       28  5 23      4544001312 3 2 0 0    59.0   57.0
 91  900.253173 1.077E-27 4.767E-06.10020.412  805.57800.750.000000          0 0 1          0 1 0 23 10 13       23  8 16      4544001312 3 2 0 0    47.0   47.0
 91  900.254049 1.389E-28 3.898E-05.09330.455 1812.47500.750.000000          0 1 1          0 2 0 49  5 44       48  3 45      4544001312 3 2 0 0    99.0   97.0
 91  900.269597 3.583E-28 2.351E-05.09750.478 1439.19810.750.000000          0 1 1          0 2 0 34  7 28       33  5 29      4544001312 3 2 0 0    69.0   67.0
 91  900.285022 2.091E-27 1.426E-05.09640.489  996.06770.750.000000          0 0 1          0 1 0 38  6 33       37  4 34      4544001312 3 2 0 0    77.0   75.0
 91  900.291476 1.176E-27 3.563E-06.10200.461  678.34760.750.000000          0 0 1          0 1 0 18  8 11       17  6 12      4544001312 3 2 0 0    37.0   35.0
 91  900.301413 9.845E-28 4.238E-06.10050.411  790.87980.750.000000          0 0 1          0 1 0 22 10 13       22  8 14      4544001312 3 2 0 0    45.0   45.0
 91  900.306349 2.899E-27 3.687E-03.09310.372 2119.14090.750.000000          2 0 0          0 0 1 48  1 47       49  1 48      4544001312 3 2 0 0    97.0   99.0
 91  900.340568 1.110E-28 1.687E-06.09710.314 1125.99010.750.000000          0 0 1          0 1 0 32 14 19       33 12 22      4544001312 3 2 0 0    65.0   67.0
 91  900.346351 8.878E-28 3.736E-06.10070.408  776.82270.750.000000          0 0 1          0 1 0 21 10 11       21  8 14      4544001312 3 2 0 0    43.0   43.0
